Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-0.0201724295551156,-0.0157441046135445,-0.00674889408254364,0,0,0,0.0716155283270815,6.13329692510778E-05,1.59034863834077E-05,1.20390377320831E-22,0.00027215207463891,1.62249266634428E-22,0.00032629128217773,0,0,0,0,0,0,package://sample_hexapod_robot/meshes/base_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://sample_hexapod_robot/meshes/base_link.STL,,body-1;body-2;תמך-9;תמך-4;תמך-8;תמך-1;תמך-7;תמך-5;תמך-2;תמך-3;תמך-6;תמך-11;תמך-10;תמך-12,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
RightFrontLink1,-2.77555756156289E-17,0.0117444424090268,-0.00583560923500802,0,0,0,0.00481299409312765,1.18177478674688E-06,-1.42650712427758E-21,-2.59695162761179E-24,2.88509010884338E-06,3.65304851631169E-07,2.98596434344079E-06,0,0,0,0,0,0,package://sample_hexapod_robot/meshes/RightFrontLink1.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://sample_hexapod_robot/meshes/RightFrontLink1.STL,,asb-11-4,Origin_RightFrontJoint14,Axis_RightFrontJoint1,RightFrontJoint1,fixed,0.0797966933644301,-0.0194131059174563,-0.0399893477490188,3.14159265358979,1.5707963267949,0,base_link,0,0,0,,,,,,,,,,,,
RightFrontLink2,0.00452867992289666,0.0139710440348122,-0.00560326484439639,0,0,0,0.0532163858371582,8.59655539356453E-06,1.38445250775542E-07,3.37486665413632E-08,1.32545838824263E-05,-1.38471551019802E-07,8.62839306366304E-06,0,0,0,0,0,0,package://sample_hexapod_robot/meshes/RightFrontLink2.STL,1,1,1,1,0,0,0,0,0,0,package://sample_hexapod_robot/meshes/RightFrontLink2.STL,,servo-3;holdservo-3;servo-9;holdservo-9;hornservo-3,Origin_RightFrontJoint24,Axis_RightFrontJoint24,RightFrontJoint2,continuous,0,0.0270001999999999,-0.0186562999999996,-1.5707963267949,-0.786246680506596,1.5707963267949,RightFrontLink1,0,0,1,,,,,,,,,,,,
RightFrontLink3,0.0404128398424304,0.00597660677483936,0.00369375749998602,0,0,0,0.0123870986027426,6.14529175645602E-06,1.23648254560111E-13,-3.65304851631165E-07,3.44355530037888E-06,-1.23648258901154E-13,7.79938480929225E-06,0,0,0,0,0,0,package://sample_hexapod_robot/meshes/RightFrontLink3.STL,0.698039215686274,0.698039215686274,0.698039215686274,1,0,0,0,0,0,0,package://sample_hexapod_robot/meshes/RightFrontLink3.STL,,hornservo-9;asb-10-5;asb-11-17;hornservo-15,Origin_RightFrontJoint34,Axis_RightFrontJoint34,RightFrontJoint3,continuous,0,0.0284480000000001,-0.019127099952002,3.14159265358979,-0.785398163397442,1.5707963267949,RightFrontLink2,0,1,0,,,,,,,,,,,,
RightFrontLink4,0.017502224050596,0.00213695685860105,4.7020139145551E-05,0,0,0,0.0328903409487069,3.98709519783942E-06,1.2256306723942E-07,1.68744277076862E-08,7.43377213845983E-06,-1.38372953220074E-07,5.85869865539314E-06,0,0,0,0,0,0,package://sample_hexapod_robot/meshes/RightFrontLink4.STL,1,1,1,1,0,0,0,0,0,0,package://sample_hexapod_robot/meshes/RightFrontLink4.STL,,servo-15;holdservo-15;asb-06-3;at-01-3;hub-08-2;REC-06-6,Origin_RightFrontJoint44,Axis_RightFrontJoint44,RightFrontJoint4,continuous,0.0730630999999997,0,0.0186563000000001,1.5707963267949,-0.785398163397455,3.14159265358979,RightFrontLink3,0,0,1,,,,,,,,,,,,
LeftFrontLink1,-6.93889390390723E-18,0.0117444424090268,-0.00583560923500803,0,0,0,0.00481299409312765,1.18177478674687E-06,3.83641268413852E-22,7.43348252236493E-22,2.88509010884338E-06,3.65304851631169E-07,2.98596434344079E-06,0,0,0,0,0,0,package://sample_hexapod_robot/meshes/LeftFrontLink1.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://sample_hexapod_robot/meshes/LeftFrontLink1.STL,,asb-11-3,Origin_LeftFrontJoint14,Axis_LeftFrontJoint1,LeftFrontJoint1,fixed,0.0797966933644301,0.0329108940825437,-0.0399893477490188,3.14159265358979,-1.5707963267949,0,base_link,0,0,0,,,,,,,,,,,,
LeftFrontLInk2,0.0042927116829299,-0.0142494000000003,-0.00590628826906783,0,0,0,0.0522696869799878,8.56368160000811E-06,-1.38274058125036E-07,3.5847434372441E-08,1.32217101778383E-05,1.38274058125032E-07,8.56368160000811E-06,0,0,0,0,0,0,package://sample_hexapod_robot/meshes/LeftFrontLInk2.STL,1,1,1,1,0,0,0,0,0,0,package://sample_hexapod_robot/meshes/LeftFrontLInk2.STL,,servo-6;servo-10;holdservo-12;holdservo-4,Origin_LeftFrontJoint24,Axis_LeftFrontJoint23,LeftFrontJoint2,continuous,0,0.0269911968874116,-0.0186293668612354,1.5707963267949,-0.786246680508058,1.5707963267949,LeftFrontLink1,0,0,1,,,,,,,,,,,,
LeftFrontLink3,-0.00369426510069479,0.00543050677483787,-0.0404133474431356,0,0,0,0.0123870986027426,7.79943723513966E-06,2.47296509967254E-13,-3.65304851631169E-07,3.44355530037888E-06,-1.6940658945086E-21,6.14523933060859E-06,0,0,0,0,0,0,package://sample_hexapod_robot/meshes/LeftFrontLink3.STL,0.698039215686274,0.698039215686274,0.698039215686274,1,0,0,0,0,0,0,package://sample_hexapod_robot/meshes/LeftFrontLink3.STL,,hornservo-10;asb-11-13;asb-10-6;hornservo-16,Origin_LeftFrontJoint34,Axis_LeftFrontJoint34,LeftFrontJoint3,continuous,0,-0.0284734,-0.0185936999519958,3.14159265358979,-0.785398163397443,1.5707963267949,LeftFrontLInk2,0,1,0,,,,,,,,,,,,
LeftFrontLink4,0.0173312004836655,-0.00213695685902054,-0.00049907986087272,0,0,0,0.0328903409487069,3.9870951978397E-06,-1.22365823567027E-07,1.79235818286107E-08,7.4337721384596E-06,1.38372942876725E-07,5.85869865539311E-06,0,0,0,0,0,0,package://sample_hexapod_robot/meshes/LeftFrontLink4.STL,1,1,1,1,0,0,0,0,0,0,package://sample_hexapod_robot/meshes/LeftFrontLink4.STL,,servo-16;holdservo-16;asb-06-4;hub-08-4;at-01-4;REC-06-7,Origin_LeftFrontJoint44,Axis_LeftFrontJoint44,LeftFrontJoint4,continuous,-0.0186563000000022,0,-0.073063099999997,1.5707963267959,-0.785398163398452,3.14159265358838,LeftFrontLink3,0,0,1,,,,,,,,,,,,
MiddleRightLink1,-0.00338972796446857,0.0229454122748954,9.48742289353863E-07,0,0,0,0.00662740565244451,2.19706904997707E-06,2.1649945772828E-21,1.23648259153443E-13,3.22730168561668E-06,4.67113118283495E-22,4.78057292970292E-06,0,0,0,0,0,0,package://sample_hexapod_robot/meshes/MiddleRightLink1.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://sample_hexapod_robot/meshes/MiddleRightLink1.STL,,asb-10-1;hornservo-2,Origin_MiddleRightJoint12,,MiddleRightJoint1,fixed,-0.0045313,-0.019413,-0.039989,3.1416,1.5708,0,base_link,0,0,0,,,,,,,,,,,,
